nasukati;nasukah;nasukaš;nasuka;nasukasmo;nasukajte;nasukaju
ukapati;ukapam;ukapaše;ukapaše;ukapasmo;ukapate;ukapaše
izviždati;izviždam;izviždaš;izvižda;izviždasmo;izviždate;izviždaše
zauzlati;zauzlah;zauzlaš;zauzla;zauzlasmo;zauzlajte;zauzlaše
zaparati;zaparam;zaparaš;zapara;zaparasmo;zaparajte;zaparat
proučavati;proučavam;proučavaše;proučavaše;-;-;-
ciklonizirati;cikloniziram;cikloniziraše;cikloniziraše;ciklonizirasmo;ciklonizirate;cikloniziraše
sažimati;sažimam;sažimaše;sažimaše;sažimasmo;sažimate;sažimlju
argumentirati;argumentiram;argumentira;argumentira;-;-;-
isisavati;isisavam;isisavaše;isisavaše;isisavasmo;isisavate;isisavaju
dati;dadoh;dadneš;dadne;damo;dadoste;dadu
opraštati;opraštah;opraštaše;opraštaše;opraštasmo;opraštajte;opraštahu
kaljati;kaljam;kaljaj;kalja;kaljamo;kaljate;kaljaju
ugravirati;ugraviram;ugraviraš;ugravira;ugravirasmo;ugravirate;ugraviraše
uzurpirati;uzurpiram;uzurpiraše;uzurpiraše;uzurpirasmo;uzurpirate;uzurpiraše
preformulirati;preformuliram;preformuliraš;preformulira;preformulirasmo;preformulirate;preformuliraše
bujati;bujam;bujaše;bujaše;bujasmo;bujate;bujaju
parketirati;parketiram;parketiraš;parketiraše;parketirasmo;parketirate;parketiraju
očitati;očitah;očitaš;očita;očitasmo;očitajte;očitaše
predstavljati;predstavljah;predstavljaše;predstavljaše;-;-;predstavljaju
generalizirati;generaliziram;generaliziraše;generaliziraše;generalizirasmo;generalizirate;generaliziraše
federirati;federiram;federiraše;federiraše;federirasmo;federirate;federiraju
glasati;glasam;glasaše;glasaše;glasasmo;glasate;glasahu
obarati;obaram;obaraše;obaraše;obarasmo;obarate;obaraju
teoretizirati;teoretiziram;teoretiziraše;teoretiziraše;teoretizirasmo;teoretizirate;teoretiziraju
brizgati;brizgam;brizgaše;brizgaše;brizgasmo;brizgate;brizgaju
gicati;gicam;gicaše;gicaše;gicasmo;gicate;gicaju
pljuckati;pljuckah;pljuckaš;pljuckaše;pljuckajmo;pljuckajte;pljuckahu
priupitati;priupitam;priupitaš;priupita;priupitasmo;priupitate;priupitaše
rolati;rolah;rolaše;neka rola;rolasmo;rolajte;neka rolaju
umoljavati;umoljavah;umoljavaš;neka umoljava;umoljavasmo;umoljavajte;umoljavahu
komponirati;komponirah;komponiraše;komponira;komponirasmo;komponirajte;komponirahu
iščeprkati;-;-;-;-;-;-
uglancati;uglancah;uglancaš;neka uglanca;uglancasmo;uglancajte;neka uglancaju
urgirati;urgiram;urgiraše;urgiraše;urgirasmo;urgirate;urgiraše
zahvatati;zahvatam;zahvataše;zahvataše;-;-;zahvatahu
zamarati;zamarah;zamaraše;zamara;zamarasmo;zamarajte;zamaraju
fiksirati;fiksiram;fiksiraš;fiksiraše;fiksirasmo;fiksirate;fiksiraju
pobacati;pobacah;pobacaj;pobaca;pobacajmo;pobacajte;pobacaju
alunirati;aluniram;aluniraše;aluniraše;alunirasmo;alunirate;aluniraše
distribuirati;distribuiram;distribuiraše;distribuiraše;distribuirasmo;distribuirate;distribuiraše
rascijepati;rascijepam;rascijepaš;rascijepa;rascijepasmo;rascijepate;rascijepaše
nastavati;nastavam;nastavaše;nastavaše;nastavasmo;nastavate;nastavaju
ispuštati;ispuštam;ispuštaše;ispuštaše;ispuštasmo;ispuštate;ispuštaju
mrljati;mrljam;mrljaše;mrljaše;mrljasmo;mrljate;mrljaju
očijukati;očijukah;očijukaše;očijuka;očijukasmo;očijukajte;očijukahu
podcrtavati;podcrtavah;podcrtavaše;neka podcrtava;podcrtavasmo;podcrtavajte;neka podcrtavaju
nauživati;nauživah;nauživaš;neka nauživa;nauživasmo;nauživajte;neka nauživaju
hramati;hramam;hramaše;hramaše;hramasmo;hramate;hramaju
starati;staram;staraše;staraše;starasmo;starate;staraju
prošetati;prošetam;prošetaj;prošeta;prošetamo;prošetaste;prošetaju
szljati;srljam;srljaše;srljaše;srljasmo;srljate;srljaju
hiperbolizirati;hiperbolizirah;hiperboliziraše;neka hiperbolizira;hiperbolizirasmo;hiperbolizirajte;neka hiperboliziraju
razbuktavati;razbuktavah;razbuktavaše;neka razbuktava;razbuktavasmo;razbuktavajte;neka razbuktavaju
nadglasavati;nadglasavam;nadglasavaše;nadglasavaše;nadglasavasmo;nadglasavate;nadglasavaju
garantirati;garantiram;garantiraše;garantiraše;garantirasmo;garantirate;garantiraše
oslanjati;oslanjam;oslanjaše;oslanjaše;oslanjasmo;oslanjate;oslanjaju
pozirati;poziram;poziraše;poziraše;pozirasmo;pozirate;poziraše
reflektirati;reflektiram;reflektiraše;reflektiraše;reflektirasmo;reflektirate;reflektiraše
svjetlati;svjetlam;svjetlaše;svjetlaše;svjetlasmo;svjetlate;svjetlaju
inficirati;inficirah;inficiraj;inficiraše;inficirajmo;inficirajte;inficirahu
tragati;tragam;tragaše;tragaše;tragasmo;tragate;tragaju
preklapati;preklapam;preklapaše;preklapaše;preklapasmo;preklapate;preklapaju
miksati;miksah;miksaše;neka miksa;miksasmo;miksajte;neka miksaju
nadolijevati;nadolijevam;nadolijevaše;nadolijevaše;nadolijevasmo;nadolijevate;nadolijevaše
kategorizirati;kategorizirah;kategoriziraše;neka kategorizira;kategorizirasmo;kategorizirajte;neka kategoriziraju
počivati;počivah;počivaše;počivaše;počivasmo;počivate;počivahu
odvajati;odvajah;odvajaš;odvajaše;odvajasmo;odvajajte;odvajahu
zatrpati;-;-;-;-;-;-
smotati;smotam;smotaš;smota;smotasmo;smotate;smotat
kooptirati;kooptiram;kooptiraše;kooptiraše;kooptirasmo;kooptirate;kooptiraše
nakapati;nakapam;nakapaš;nakapa;nakapasmo;nakapate;nakapaše
laćati;laćah;laćaše;laća;laćasmo;laćajte;laćahu
dezinvestirati;dezinvestirah;dezinvestiraše;neka dezinvestira;dezinvestirasmo;dezinvestirajte;neka dezinvestiraju
dometati;dometah;dometaš;neka dometne;dometasmo;dometaste;neka dometnu
poništavati;poništavah;poništavaj;poništava;poništavajmo;poništavajte;poništavaju
klecati;klecam;klecaš;klecaše;klecasmo;klecate;klecahu
potapšati;potapšam;potapšaš;potapša;potapšasmo;potapšate;potapšaše
kaskati;kaskam;kaskaše;kaskaše;kaskasmo;kaskate;kaskahu
naštelati;naštelah;naštelaš;naštela;naštelasmo;naštelajte;naštelaše
doznati;doznavši;doznaš;dozna;doznajmo;doznaste;doznajući
pauperizirati;pauperiziram;pauperiziraše;pauperiziraše;pauperizirasmo;pauperizirate;pauperiziraše
maskirati;maskirah;maskiraj;maskiraše;maskirajmo;maskirajte;maskirahu
pravdati;pravdam;pravdaj;pravdaše;pravdamo;pravdate;pravdahu
grupirati;grupirah;grupiraše;grupira;grupirasmo;grupirajte;grupirahu
cjenkati;cjenkam;cjenkaše;cjenkaše;cjenkasmo;cjenkate;cjenkaju
obračunavati;obračunavah;obračunavaše;obračunava;obračunavasmo;obračunavaste;obračunavahu
trasirati;trasiram;trasiraš;trasiraše;trasirasmo;trasirate;trasiraju
ritati;ritah;ritaše;ritaše;ritasmo;ritate;ritaju
ovjenčati;ovjenčam;ovjenčaj;ovjenča;ovjenčajmo;ovjenčajte;ovjenčaju
fićukati;fićukah;fićukaše;fićuka;fićukasmo;fićukajte;fićukahu
anticipirati;anticipirah;anticipiraše;neka anticipira;anticipirasmo;anticipirajte;neka anticipiraju
otkotrljati;-;-;-;-;-;-
uštimati;uštimah;uštimaš;neka uštima;uštimasmo;uštimajte;neka uštimaju
razbuktati;razbuktah;razbuktaše;neka razbukta;razbuktasmo;razbuktajte;neka razbuktaju
raskopati;raskopam;raskopaš;raskopa;raskopasmo;raskopate;raskopaše
vitlati;vitlam;vitlaš;vitlaše;vitlasmo;vitlate;vitlaju
insinuirati;insinuiram;insinuiraše;insinuiraše;insinuirasmo;insinuirate;insinuiraše
šatirati;šatiram;šatiraše;šatiraše;šatirasmo;šatirate;šatiraše
koprcati;-;-;-;-;-;-
evoluirati;evoluiram;evoluiraše;evoluiraše;evoluirasmo;evoluirate;evoluiraše
pogoršavati;pogoršavah;pogoršavaše;neka pogoršava;pogoršavasmo;pogoršavajte;neka pogoršavaju
amputirati;amputiram;amputiraše;amputiraše;amputirasmo;amputirate;amputiraše
stupati;stupam;stupaše;stupaše;stupasmo;stupate;stupahu
tretirati;tretiram;tretiraše;tretiraše;tretirasmo;tretirate;tretiraju
osvježavati;osvježavah;osvježavaše;osvježava;osvježavasmo;osvježavajte;osvježavahu
busati;busam;busaše;busaše;busasmo;busate;busaju
iritirati;iritiram;iritiraše;neka iritira;iritirasmo;iritirate;neka iritiraju
zahtijevati;zahtijevam;zahtijevaše;zahtijevaše;zahtijevasmo;zahtijevate;zahtijevaju
postupati;postupam;postupaše;postupaše;postupasmo;postupate;postupaju
kucati;kucam;kucaše;kucaše;kucasmo;kucate;kucaju
crtati;crtah;crtaj;crtaše;crtajmo;crtajte;crtaju
razbucati;razbucam;razbucaš;razbuca;razbucasmo;razbucate;razbucaše
uskovitlati;uskovitlam;uskovitlaš;uskovitla;uskovitlasmo;uskovitlate;uskovitlaše
odrijemati;odrijemam;odrijemaš;odrijema;odrijemasmo;odrijemate;odrijemaše
rasparati;rasparam;rasparaš;raspara;rasparasmo;rasparate;rasparat
shvaćati;shvaćam;shvaćaš;shvaćaše;shvaćamo;shvaćate;shvaćahu
iskomadati;iskomadah;iskomadaš;iskomada;iskomadasmo;iskomadajte;iskomadaše
uspravljati;uspravljah;uspravljaše;neka uspravlja;uspravljasmo;uspravljajte;neka uspravljaju
popadati;popadam;popadaš;popada;popadasmo;popadajte;popadat
okarakterizirati;okarakteriziram;okarakteriziraš;okarakterizira;okarakterizirasmo;okarakterizirate;okarakteriziraše
telegrafirati;telegrafiram;telegrafiraše;telegrafiraše;telegrafirasmo;telegrafirate;telegrafiraše
režirati;režiram;režiraše;režiraše;režirasmo;režirate;režiraše
upravljati;upravljam;upravljaše;upravljaše;upravljasmo;upravljate;upravljaju
narugati;narugam;narugaš;naruga;narugasmo;narugate;narugaše
zamiješati;zamiješam;zamiješaš;zamiješa;zamiješasmo;zamiješajte;zamiješaju
napričati;napričah;napričaš;napriča;napričasmo;napričajte;napričaše
fuflati;fuflam;fuflaše;fuflaše;fuflasmo;fuflate;fuflaju
satjerati;satjerah;satjeraš;satjera;satjerasmo;satjerajte;satjeraše
otplutati;otplutah;otplutaš;neka otpluta;otplutasmo;otplutajte;neka otplutaju
riskirati;riskiram;riskiraše;riskiraše;riskirasmo;riskirate;riskiraše
konkurirati;konkuriram;konkuriraše;konkuriraše;konkurirasmo;konkurirate;konkuriraše
odslikati;odslikam;odslikaš;odslika;odslikasmo;odslikate;odslikaše
obitavati;obitavah;obitavaše;obitava;obitavasmo;obitavajte;obitavaju
zaškripati;zaškripam;zaškripaš;zaškripa;zaškripasmo;zaškripate;zaškripaše
zveketati;zveketam;zveketaš;zvekeće;zveketamo;zvekećite;zvekeću
isprešati;isprešam;isprešaš;ispreša;isprešasmo;isprešate;isprešaše
nagomilavati;nagomilavah;nagomilavaše;neka nagomilava;nagomilavasmo;nagomilavajte;neka nagomilavaju
favorizirati;favoriziram;favoriziraše;favoriziraše;favorizirasmo;favorizirate;favoriziraju
rezuckati;rezuckam;rezuckaše;rezuckaše;rezuckasmo;rezuckate;rezuckaju
flaširati;flaširam;flaširaše;flaširaše;flaširasmo;flaširate;flaširaše
aktualizirati;aktualiziram;aktualiziraše;aktualiziraše;aktualizirasmo;aktualizirate;aktualiziraše
parazitirati;parazitiram;parazitiraše;parazitiraše;parazitirasmo;parazitirate;parazitiraju
plagirati;plagiram;plagiraše;plagiraše;plagirasmo;plagirate;plagiraše
pregibati;pregibam;pregibaše;pregibaše;pregibasmo;pregibate;pregibaju
savladavati;savladavah;savladavaše;neka savladava;savladavasmo;savladavajte;neka savladavaju
navršavati;navršavah;navršavaše;navršava;navršavasmo;navršavajte;navršavahu
finalizirati;finalizirah;finaliziraše;neka finalizira;finalizirasmo;finalizirajte;neka finaliziraju
glodati;glodah;glodaše;gloda;glodasmo;glođite;glodahu
ubrizgati;ubrizgam;ubrizgaš;ubrizga;ubrizgasmo;ubrizgate;ubrizgaše
ženirati;ženiram;ženiraše;ženiraše;ženirasmo;ženirate;ženiraju
počekati;počekah;počekaš;počeka;počekasmo;počekaste;počekaše
trijumfirati;trijumfiram;trijumfiraše;trijumfiraše;trijumfirasmo;trijumfirate;trijumfiraše
šutati;šutah;šutaše;neka šuta;šutasmo;šutajte;neka šutaju
izažimati;izažimljem;izažimlji;izažimlje;izažimljimo;izažimljite;izažimlju
lagumati;lagumah;lagumaše;laguma;lagumasmo;lagumajte;lagumahu
izbivati;izbivam;izbivaše;izbivaše;izbivasmo;izbivate;izbivaju
plutati;plutam;plutaše;plutaše;plutasmo;plutate;plutahu
komemorirati;komemoriram;komemoriraše;komemoriraše;komemorirasmo;komemorirate;komemoriraše
ponukati;ponukah;ponukaš;ponuka;ponukasmo;ponukajte;ponukaju
obazirati;obaziram;obaziraš;obazira;obaziramo;obazirate;obaziraju
eksplicirati;ekspliciram;ekspliciraše;ekspliciraše;eksplicirasmo;eksplicirate;ekspliciraše
dozrijevati;dozrijevah;dozrijevaše;neka dozrijeva;dozrijevasmo;dozrijevajte;neka dozrijevaju
nagnati;nagnam;nagnaš;nagna;nagnasmo;nagnate;nagnaše
dolijevati;dolivam;dolivaše;dolivaše;dolivasmo;dolivate;dolijevaju
odveslati;odveslah;odveslaš;odvesla;odveslasmo;odveslaste;odveslaše
računati;računah;računaš;računaše;računajmo;računaste;računahu
iskrsavati;iskrsavah;iskrsavaše;iskrsava;iskrsavasmo;iskrsavajte;iskrsavahu
zasipati;zasipam;zasipaš;zasipa;zasipasmo;zasipajte;zasipaju
suspendirati;suspendiram;suspendiraše;suspendiraše;suspendirasmo;suspendirate;suspendiraše
konfinirati;konfiniram;konfiniraše;konfiniraše;konfinirasmo;konfinirate;konfiniraše
štipkati;štipkam;štipkaše;štipkaše;štipkasmo;štipkate;štipkaju
odigravati;odigravah;odigravaše;odigrava;odigravasmo;odigravajte;odigravahu
zarajtati;zarajtah;zarajta;zarajta;zarajtasmo;zarajtajte;zarajtaju
promarširati;promarširam;promarširaš;promaršira;promarširasmo;promarširate;promarširaše
švindlati;švindlam;švindlaše;švindlaše;švindlasmo;švindlate;švindlaju
tjerati;tjeram;tjeraš;tjeraše;tjerasmo;tjerate;tjerat
zadovoljavati;zadovoljavam;-;zadovoljavaše;-;-;zadovoljavahu
omatati;omatah;omataš;omata;omatasmo;omataste;omatahu
filozofirati;filozofiram;filozofiraše;filozofiraše;filozofirasmo;filozofirate;filozofiraju
otapati;otapah;otapaj;otapaše;otapajmo;otapajte;otapahu
udati;udam;udaj;-;-;udate;udaju
prežvakavati;prežvakavam;prežvakavaše;prežvakavaše;prežvakavasmo;prežvakavate;prežvakavaju
dopadati;dopadah;dopadaše;dopada;dopadasmo;dopadajte;dopadahu
zakotrljati;zakotrljam;zakotrljaš;zakotrlja;zakotrljasmo;zakotrljajte;zakotrljaju
mzmljati;mrmljam;mrmljaše;mrmljaše;mrmljasmo;mrmljate;mrmljaju
mantati;mantam;mantaše;mantaše;mantasmo;mantate;mantaju
stagnirati;stagniram;stagniraše;stagniraše;stagnirasmo;stagnirate;stagniraše
aludirati;aludiram;aludiraše;aludiraše;aludirasmo;aludirate;aludiraše
startati;startam;startaše;startaše;startasmo;startate;startaše
pervertirati;pervertiram;pervertiraše;pervertiraše;pervertirasmo;pervertirate;pervertiraše
pobojati;pobojim;pobojaš;poboji;pobojimo;pobojajte;pobojaju
proigravati;proigravah;proigravaše;neka proigrava;proigravasmo;proigravajte;neka proigravaju
indisponirati;indisponirah;indisponiraše;neka indisponira;indisponirasmo;indisponirajte;neka indisponiraju
propupati;propupam;propupaš;propupa;propupasmo;propupate;propupaše
tumarati;tumaram;tumaraše;tumaraše;tumarasmo;tumarate;tumaraju
popunjavati;popunjavah;popunjavaše;popunjava;popunjavasmo;popunjavajte;popunjavaju
napipati;napipam;napipaš;napipa;napipasmo;napipate;napipaše
treskati;treskah;treskaš;neka treska;treskasmo;treskajte;neka treskaju
pimplati;pimplam;pimplaše;pimplaše;pimplasmo;pimplate;pimplaju
parodirati;parodiram;parodiraše;parodiraše;parodirasmo;parodirate;parodiraše
grgljati;-;-;-;-;-;-
prebrojavati;prebrojavah;prebrojavaš;neka prebrojava;prebrojavasmo;prebrojavajte;neka prebrojavaju
šupirati;šupiram;šupiraše;šupiraše;šupirasmo;šupirate;šupiraše
osipati;osipah;osipaš;osipaše;osipasmo;osipajte;osipahu
prekoravati;prekoravam;prekoravaše;prekoravaše;prekoravasmo;prekoravate;prekoravaju
prigrijavati;prigrijavah;prigrijavaše;neka prigrijava;prigrijavasmo;prigrijavajte;neka prigrijavaju
planirati;planiram;planiraš;planiraše;planirasmo;planirate;planiraju
pokucati;pokucam;pokucaš;pokuca;pokucasmo;pokucajte;pokucat
zataškati;zataškam;zataškaš;zataška;zataškasmo;zataškate;zataškaše
čestitati;čestitah;čestitaše;-;čestitasmo;čestitajte;čestitahu
prolistati;prolistam;prolistaš;prolista;prolistasmo;prolistate;prolistaše
mlatarati;mlataram;mlataraše;mlataraše;mlatarasmo;mlatarate;mlataraju
žbukati;žbukam;žbukaš;žbukaše;žbukasmo;žbukate;žbukaju
cerekati;cerekam;cerekaš;cerekaše;cerekasmo;cerekate;cerekaju
prosvirati;prosviram;prosviraš;prosvira;prosvirasmo;prosvirate;prosviraše
otpjevati;otpjevam;otpjevaš;otpjeva;otpjevasmo;otpjevate;otpjevaše
izvrijeđati;izvrijeđah;izvrijeđaš;izvrijeđa;izvrijeđasmo;izvrijeđajte;izvrijeđaše
pobijati;pobijam;pobijaše;pobijaše;pobijasmo;pobijate;pobijaju
prehodati;prehodah;prehodaš;neka prehoda;prehodasmo;prehodajte;neka prehodaju
oštrigati;oštrigam;oštrigaš;oštriga;oštrigasmo;oštrigate;oštrigaše
zakunjati;zakunjam;zakunjaš;zakunja;zakunjasmo;zakunjajte;zakunjat
odlijevati;odlijevam;odlijevaše;odlijevaše;odlijevasmo;odlijevate;odlijevaju
investirati;investiram;investiraše;investiraše;investirasmo;investirate;investiraše
erodirati;erodiram;erodiraše;erodiraše;erodirasmo;erodirate;erodiraju
dotirati;dotiram;dotiraše;dotiraše;dotirasmo;dotirate;dotiraše
tkati;tkam;tkaš;tkaše;tkasmo;tkate;tkaju
provjetravati;provjetravah;provjetravaše;provjetrava;provjetravasmo;provjetravajte;provjetravahu
interesirati;interesiram;interesira;interesiraše;-;-;-
očerupati;očerupah;očerupaj;očerupa;očerupajmo;očerupajte;očerupat
ušutkati;ušutkam;ušutkaš;ušutka;ušutkasmo;ušutkate;ušutkaše
tiskati;tiskam;tiskaš;tiskaše;tiskasmo;tiskate;tiskahu
iskrivljavati;iskrivljavah;iskrivljavaše;neka iskrivljava;iskrivljavasmo;iskrivljavaste;neka iskrivljavaju
strijeljati;strijeljam;strijeljaše;strijeljaše;strijeljasmo;strijeljate;strijeljaše
podvrgavati;podvrgavah;podvrgavaše;podvrgava;podvrgavasmo;podvrgavajte;podvrgavahu
skalpirati;skalpiram;skalpiraše;skalpiraše;skalpirasmo;skalpirate;skalpiraše
orguljati;orguljam;orguljaj;-;orguljasmo;orguljate;orguljaju
podsjećati;podsjećah;podsjećaš;podsjećaše;podsjećasmo;podsjećajte;podsjećahu
vibrirati;vibriram;vibriraše;vibriraše;vibrirasmo;vibrirate;vibriraju
poduzimati;poduzimam;poduzimlješ;poduzimaše;poduzimasmo;poduzimate;poduzimaju
prošikljati;prošikljam;prošikljaš;prošiklja;prošikljasmo;prošikljate;prošikljaše
podešavati;podešavah;podešavaše;podešava;podešavasmo;podešavajte;podešavaju
pojačavati;pojačavah;pojačavaj;pojačava;pojačavajmo;pojačavajte;pojačavaju
pokopati;pokopam;pokopaš;pokopa;pokopasmo;pokopajte;pokopat
gorčati;gorčah;gorčaše;-;gorčasmo;gorčajte;gorčahu
opijati;opijam;opijaše;opija;opijasmo;opijaste;opijahu
odati;odah;odaš;oda;odasmo;odaste;odaše
poljuljati;poljuljah;poljuljaš;neka poljulja;poljuljasmo;poljuljajte;neka poljuljaju
adorirati;adoriram;adoriraše;adoriraše;adorirasmo;adorirate;adoriraše
zamaskirati;zamaskirah;zamaskiraj;zamaskira;zamaskirajmo;zamaskirajte;zamaskiraju
zavitlati;zavitlah;zavitlaš;zavitla;zavitlasmo;zavitlajte;zavitlaše
kljukati;kljukam;kljukaše;kljukaše;kljukasmo;kljukate;kljukaju
prekopavati;prekopavah;prekopavaše;neka prekopava;prekopavasmo;prekopavajte;neka prekopavaju
zamotati;zamotah;zamotaš;zamota;zamotajmo;zamotajte;zamotaju
ometati;ometam;ometaše;ometaše;ometasmo;ometate;ometaju
sažalijevati;sažalijevam;-;sažalijevaše;-;-;-
opuštati;opuštah;opuštaše;opušta;opuštasmo;opuštajte;opuštahu
mamuzati;mamuzam;mamuzaše;mamuzaše;mamuzasmo;mamuzate;mamuzaju
aranžirati;aranžiram;aranžiraše;aranžiraše;aranžirasmo;aranžirate;aranžiraše
isporazbijati;isporazbijam;isporazbijaš;isporazbija;isporazbijasmo;isporazbijate;isporazbijaše
poravnavati;poravnavah;poravnavaše;neka poravnava;poravnavasmo;poravnavajte;neka poravnavaju
narušavati;narušavah;narušavaše;narušava;narušavasmo;narušavajte;narušavahu
izglasati;izglasah;izglasaj;izglasa;izglasajmo;izglasajte;izglasaju
zapljeskati;zapljeskam;zapljeskaš;zapljeska;zapljeskasmo;zapljeskajte;zapljeskaju
prošišati;prošišam;prošišaš;prošiša;prošišasmo;prošišate;prošišaše
obuzimati;obuzimah;obuzimaš;neka obuzima;obuzimasmo;obuzimajte;neka obuzimaju
otključati;otključah;otključaš;otključa;otključasmo;otključajte;otključaše
