nasukati;nasukan;nasukana;nasukano;nasukani;nasukane;nasukaju
preformulirati;preformuliram;preformuliraš;preformulira;preformulirasmo;preformulirate;preformuliraše
bujati;bujam;bujaše;bujaše;bujasmo;bujajući;bujeći
parketirati;parketiram;parketiraš;parketiraše;parketirasmo;parketirate;parketiraju
očitati;očitan;očitana;očitano;očitani;očitane;očitaše
predstavljati;predstavljah;predstavljaše;predstavljaše;-;predstavljana;predstavljaju
generalizirati;generaliziran;generalizirana;generalizirano;generalizirani;generalizirane;generalizirajući
federirati;federiram;federiraše;federiraše;federirasmo;federirate;federiraju
glasati;glasam;glasaše;glasaše;glasasmo;glasate;glasajući
obarati;obaran;obarana;obarano;obarasmo;obarane;obaraju
teoretizirati;teoretiziram;teoretiziraše;teoretiziraše;teoretizirasmo;teoretizirate;teoretiziraju
brizgati;brizgam;brizgaše;brizgaše;brizgasmo;brizgana;brizgaju
gicati;gicam;gicaše;gicaše;gicasmo;gicate;gicaju
pljuckati;pljuckah;pljuckaš;pljuckaše;pljuckajmo;pljuckale;pljuckahu
priupitati;priupitam;priupitaš;priupita;priupitasmo;priupitana;priupitaše
rolati;rolan;rolana;rolano;rolani;rolane;rolajući
umoljavati;umoljavan;umoljavana;umoljavano;umoljavani;umoljavane;umoljavajući
komponirati;komponiravši;komponirana;komponirano;komponirani;komponirane;komponirajući
iščeprkati;-;-;-;-;-;-
uglancati;uglancavši;uglancana;uglancano;uglancani;uglancane;neka uglancaju
urgirati;urgiram;urgiraše;urgiraše;urgirasmo;urgirate;urgiraše
zahvatati;zahvatam;zahvataše;zahvataše;-;-;zahvatahu
zamarati;zamaran;zamarana;zamarana;zamarani;zamarana;zamarajući
fiksirati;fiksiram;fiksiraš;fiksiraše;fiksirasmo;fiksirate;fiksiraju
pobacati;pobacah;pobacaj;pobaca;pobacajmo;pobacajte;pobacaju
alunirati;aluniram;aluniraše;aluniraše;alunirasmo;alunirate;aluniraše
distribuirati;distribuiram;distribuiraše;distribuiraše;distribuirasmo;distribuirate;distribuiraše
rascijepati;rascijepam;rascijepaš;rascijepa;rascijepasmo;rascijepate;rascijepaše
nastavati;nastavan;nastavana;nastavano;nastavani;nastavate;nastavajući
ispuštati;ispuštan;ispuštana;ispuštano;ispuštani;ispuštane;ispuštajući
mrljati;mrljan;mrljana;mrljano;mrljani;mrljane;mrljajući
očijukati;očijukah;očijukaše;očijuka;očijukasmo;očijukajte;očijukahu
podcrtavati;podcrtavao;podcrtavana;podcrtavano;podcrtavani;podcrtavane;neka podcrtavaju
nauživati;nauživavši;nauživana;nauživano;nauživani;nauživane;neka nauživaju
hramati;hramam;hramaše;hramaše;hramasmo;hramate;hramaju
starati;staram;staraše;staraše;starasmo;starate;staraju
prošetati;prošetam;prošetaj;prošeta;prošetamo;prošetaste;prošetaju
szljati;srljam;srljaše;srljaše;srljasmo;srljate;srljaju
hiperbolizirati;hiperboliziran;hiperbolizirana;hiperbolizirano;hiperbolizirani;hiperbolizirane;hiperbolizirjući
razbuktavati;razbuktavavši;razbuktavana;razbuktavano;razbuktavani;razbuktavane;razbuktavajući
nadglasavati;nadglasavan;nadglasavana;nadglasavano;nadglasavani;nadglasavane;nadglasavajući
garantirati;garantiran;garantirana;garantirano;garantirani;garantirane;garantirajući
oslanjati;oslanjam;oslanjaše;oslanjaše;oslanjasmo;oslanjate;oslanjajući
pozirati;poziram;poziraše;poziraše;pozirasmo;pozirate;poziraše
reflektirati;reflektiram;reflektiraše;reflektiraše;reflektirasmo;reflektirate;reflektiraše
svjetlati;svjetlam;svjetlaše;svjetlaše;svjetlasmo;svjetlana;svjetlaju
inficirati;inficirah;inficiraj;inficiraše;inficirajmo;inficirajte;inficirahu
tragati;tragam;tragaše;tragaše;tragasmo;tragate;tragaju
preklapati;preklapam;preklapaše;preklapaše;preklapasmo;preklapana;preklapaju
miksati;miksan;miksana;miksano;miksani;miksane;miksajući
nadolijevati;nadolijevan;nadolijevana;nadolijevano;nadolijevani;nadolijevane;nadolijevajući
kategorizirati;kategoriziravši;kategorizirana;kategorizirano;kategorizirani;kategorizirane;kategorizirajući
počivati;počivah;počivaše;počivaše;počivasmo;počivate;počivahu
odvajati;odvajan;odvajana;odvajano;odvajani;odvajane;odvajajući
zatrpati;-;-;-;-;-;-
smotati;smotam;smotaš;smota;smotasmo;smotate;smotat
kooptirati;kooptiran;kooptirana;kooptirano;kooptirani;kooptirane;kooptirajući
nakapati;nakapam;nakapaš;nakapa;nakapasmo;nakapate;nakapaše
laćati;laćah;laćaše;laćalo;laćasmo;laćajte;laćahu
dezinvestirati;dezinvestiran;dezinvestirana;dezinvestirano;dezinvestirani;dezinvestirane;dezinvestirajući
dometati;dometao;dometala;dometalo;dometasmo;dometana;neka dometnu
poništavati;poništavah;poništavaj;poništava;poništavajmo;poništavajte;poništavaju
klecati;klecam;klecaš;klecaše;klecasmo;klecate;klecahu
potapšati;potapšam;potapšaš;potapša;potapšasmo;potapšana;potapšaše
kaskati;kaskam;kaskaše;kaskaše;kaskasmo;kaskate;kaskajući
naštelati;naštelan;naštelana;naštelano;naštelani;naštelane;naštelaše
doznati;doznavši;doznaš;dozna;doznajmo;doznaste;doznajući
pauperizirati;pauperiziram;pauperiziraše;pauperiziraše;pauperizirasmo;pauperizirate;pauperiziraše
maskirati;maskirah;maskiraj;maskiraše;maskirajmo;maskirajte;maskirahu
pravdati;pravdam;pravdaj;pravdaše;pravdamo;pravdana;pravdahu
grupirati;grupiravši;grupirana;grupirano;grupirani;grupirane;grupirajući
cjenkati;cjenkam;cjenkaše;cjenkaše;cjenkasmo;cjenkana;cjenkaju
obračunavati;obračunavan;obračunavana;obračunavano;obračunavani;obračunavane;obračunavajući
trasirati;trasiram;trasiraš;trasiraše;trasirasmo;trasirate;trasiraju
ritati;ritah;ritaše;ritaše;ritasmo;ritane;ritaju
ovjenčati;ovjenčam;ovjenčaj;ovjenča;ovjenčajmo;ovjenčajte;ovjenčaju
fićukati;fićukah;fićukala;fićuka;fićukasmo;fićukale;fićukahu
anticipirati;anticipiravši;anticipirana;anticipirano;anticipirani;anticipirane;anticipirajući
otkotrljati;-;otkotrljana;otkotrljano;otkotrljani;otkotrljane;-
uštimati;uštimavši;uštimala;uštimalo;uštimali;uštimale;neka uštimaju
razbuktati;razbuktavši;razbuktana;razbuktano;razbuktani;razbuktane;neka razbuktaju
raskopati;raskopam;raskopaš;raskopa;raskopasmo;raskopana;raskopaše
vitlati;vitlam;vitlaš;vitlaše;vitlasmo;vitlate;vitlaju
insinuirati;insinuiram;insinuiraše;insinuiraše;insinuirasmo;insinuirate;insinuiraše
šatirati;šatiram;šatiraše;šatiraše;šatirasmo;šatirate;šatiraše
koprcati;-;-;-;-;-;-
evoluirati;evoluiram;evoluiraše;evoluiraše;evoluirasmo;evoluirate;evoluiraše
pogoršavati;pogoršavavši;pogoršavana;pogoršavano;pogoršavani;pogoršavane;pogoršavajući
amputirati;amputiram;amputiraše;amputiraše;amputirasmo;amputirate;amputiraše
stupati;stupam;stupaše;stupaše;stupasmo;stupate;stupahu
tretirati;tretiram;tretiraše;tretiraše;tretirasmo;tretirate;tretiraju
osvježavati;osvježavan;osvježavana;osvježavano;osvježavani;osvježavane;osvježavahu
busati;busam;busaše;busaše;busasmo;busate;busajući
iritirati;iritiravši;iritirana;iritirano;iritirani;iritirane;iritirajući
zahtijevati;zahtijevam;zahtijevaše;zahtijevaše;zahtijevasmo;zahtijevate;zahtijevaju
postupati;postupam;postupaše;postupaše;postupasmo;postupate;postupaju
kucati;kucam;kucaše;kucaše;kucasmo;kucate;kucaju
crtati;crtah;crtaj;crtaše;crtajmo;crtajte;crtaju
razbucati;razbucam;razbucaš;razbuca;razbucasmo;razbucana;razbucaše
uskovitlati;uskovitlam;uskovitlaš;uskovitla;uskovitlasmo;uskovitlate;uskovitlaše
odrijemati;odrijemam;odrijemaš;odrijema;odrijemasmo;odrijemate;odrijemaše
rasparati;rasparam;rasparaš;raspara;rasparasmo;rasparate;rasparat
shvaćati;shvaćam;shvaćaš;shvaćaše;shvaćamo;shvaćana;shvaćahu
iskomadati;iskomadavši;iskomadana;iskomadano;iskomadani;iskomadane;iskomadaše
uspravljati;uspravljavši;uspravljana;uspravljano;uspravljani;uspravljane;uspravljajući
popadati;popadam;popadaš;popada;popadasmo;popadajte;popadat
okarakterizirati;okarakteriziran;okarakterizirana;okarakterizirano;okarakterizirani;okarakterizirane;okarakteriziraše
telegrafirati;telegrafiram;telegrafiraše;telegrafiraše;telegrafirasmo;telegrafirate;telegrafiraše
režirati;režiram;režiraše;režiraše;režirasmo;režirate;režiraše
upravljati;upravljam;upravljaše;upravljaše;upravljasmo;upravljana;upravljaju
narugati;narugam;narugaš;naruga;narugasmo;narugate;narugaše
zamiješati;zamiješam;zamiješaš;zamiješa;zamiješasmo;zamiješajte;zamiješaju
napričati;napričavši;napričala;napričalo;napričali;napričale;napričaše
fuflati;fuflam;fuflaše;fuflaše;fuflasmo;fuflate;fuflajući
satjerati;satjeravši;satjerana;satjerano;satjerani;satjerane;satjeraše
otplutati;otplutavši;otplutala;otplutalo;otplutali;otplutale;neka otplutaju
riskirati;riskiram;riskiraše;riskiraše;riskirasmo;riskirate;riskiraše
konkurirati;konkuriram;konkuriraše;konkuriraše;konkurirasmo;konkurirate;konkurirajući
odslikati;odslikan;odslikana;odslikano;odslikani;odslikane;odslikaše
obitavati;obitavao;obitavaše;obitavalo;obitavasmo;obitavajte;obitavajući
zaškripati;zaškripam;zaškripaš;zaškripa;zaškripasmo;zaškripate;zaškripaše
zveketati;zveketam;zveketaš;zvekeće;zveketamo;zvekećite;zvekeću
isprešati;isprešan;isprešana;isprešano;isprešani;isprešane;isprešaše
nagomilavati;nagomilavan;nagomilavana;nagomilavano;nagomilavani;nagomilavane;nagomilavajući
favorizirati;favoriziram;favoriziraše;favoriziraše;favorizirasmo;favorizirana;favoriziraju
rezuckati;rezuckam;rezuckaše;rezuckaše;rezuckasmo;rezuckana;rezuckaju
flaširati;flaširan;flaširana;flaširano;flaširani;flaširane;flaširajući
aktualizirati;aktualiziram;aktualiziraše;aktualiziraše;aktualizirasmo;aktualizirate;aktualiziraše
parazitirati;parazitiram;parazitiraše;parazitiraše;parazitirasmo;parazitirate;parazitiraju
plagirati;plagiram;plagiraše;plagiraše;plagirasmo;plagirate;plagiraše
pregibati;pregibam;pregibaše;pregibaše;pregibasmo;pregibana;pregibaju
savladavati;savladavan;savladavana;savladavano;savladavani;savladavane;savladavajući
navršavati;navršavao;navršavala;navršava;navršavali;navršavale;navršavajući
finalizirati;finaliziravši;finalizirana;finalizirano;finalizirani;finalizirane;finalizirajući
glodati;glodan;glodana;glodano;glodani;glodane;glođući
ubrizgati;ubrizgam;ubrizgaš;ubrizga;ubrizgasmo;ubrizgana;ubrizgaše
ženirati;ženiram;ženiraše;ženiraše;ženirasmo;ženirate;ženirajući
počekati;počekah;počekaš;počekalo;počekali;počekale;počekaše
trijumfirati;trijumfiram;trijumfiraše;trijumfiraše;trijumfirasmo;trijumfirate;trijumfiraše
šutati;šutan;šutana;šutano;šutani;šutane;šutajući
izažimati;izažiman;izažimana;izažimano;izažimani;izažimane;izažimajući
lagumati;lagumao;lagumala;lagumalo;lagumali;lagumale;lagumajući
izbivati;izbivam;izbivaše;izbivaše;izbivasmo;izbivate;izbivaju
plutati;plutam;plutaše;plutaše;plutasmo;plutate;plutahu
komemorirati;komemoriran;komemorirana;komemorirano;komemorirani;komemorirane;komemorirajući
ponukati;ponukah;ponukaš;ponuka;ponukasmo;ponukajte;ponukaju
obazirati;obaziram;obaziraš;obazira;obaziramo;obazirate;obaziraju
eksplicirati;ekspliciram;ekspliciraše;ekspliciraše;eksplicirasmo;eksplicirate;ekspliciraše
dozrijevati;dozrijevan;dozrijevana;dozrijevano;dozrijevani;dozrijevane;dozrijevajući
nagnati;nagnan;nagnana;nagnano;nagnani;nagnane;nagnaše
dolijevati;dolivan;dolivan;dolivano;dolivan;dolivan;dolivajući
odveslati;odveslavši;odveslala;odveslalo;odveslali;odveslale;odveslaše
računati;računah;računaš;računaše;računajmo;računaste;računahu
iskrsavati;iskrsavah;iskrsavaše;iskrsavalo;iskrsavali;iskrsavajte;iskrsavajući
zasipati;zasipam;zasipaš;zasipa;zasipasmo;zasipajte;zasipaju
suspendirati;suspendiram;suspendiraše;suspendiraše;suspendirasmo;suspendirate;suspendiraše
konfinirati;konfiniran;konfinirana;konfinirano;konfinirani;konfinirane;konfinirajući
štipkati;štipkam;štipkaše;štipkaše;štipkasmo;štipkana;štipkaju
odigravati;odigravah;odigravala;odigrava;odigravali;odigravajte;odigravajući
zarajtati;zarajtavši;zarajtana;zarajtana;zarajtani;zarajtana;zarajtana
promarširati;promarširam;promarširaš;promaršira;promarširasmo;promarširate;promarširaše
švindlati;švindlam;švindlaše;švindlaše;švindlasmo;švindlate;švindlaju
tjerati;tjeram;tjeraš;tjeraše;tjerasmo;tjerate;tjerat
zadovoljavati;zadovoljavam;-;zadovoljavaše;-;zadovoljavana;zadovoljavahu
omatati;omatan;omatana;omatano;omatani;omatane;omatahu
filozofirati;filozofiram;filozofiraše;filozofiraše;filozofirasmo;filozofirate;filozofiraju
otapati;otapah;otapaj;otapaše;otapajmo;otapajte;otapahu
udati;udam;udaj;-;-;udate;udaju
prežvakavati;prežvakavam;prežvakavaše;prežvakavaše;prežvakavasmo;prežvakavana;prežvakavaju
dopadati;dopadao;dopadala;dopadalo;dopadasmo;dopadale;dopadajući
zakotrljati;zakotrljam;zakotrljaš;zakotrlja;zakotrljasmo;zakotrljajte;zakotrljaju
mzmljati;mrmljam;mrmljaše;mrmljaše;mrmljasmo;mrmljate;mrmljaju
mantati;mantam;mantaše;mantaše;mantasmo;mantate;mantaju
stagnirati;stagniram;stagniraše;stagniraše;stagnirasmo;stagnirate;stagniraše
aludirati;aludiram;aludiraše;aludiraše;aludirasmo;aludirate;aludiraše
startati;startam;startaše;startaše;startasmo;startate;startaše
pervertirati;pervertiram;pervertiraše;pervertiraše;pervertirasmo;pervertirate;pervertiraše
pobojati;pobojan;pobojana;pobojano;pobojani;pobojane;pobojaju
proigravati;proigravan;proigravana;proigravano;proigravani;proigravane;proigravajući
indisponirati;indisponiraavši;indisponirala;indisponiralo;indisponirali;indisponirale;indisponirajući
propupati;propupam;propupaš;propupa;propupasmo;propupate;propupaše
tumarati;tumaram;tumaraše;tumaraše;tumarasmo;tumarate;tumaraju
popunjavati;popunjavan;popunjavana;popunjavana;popunjavani;popunjavana;popunjavajući
napipati;napipan;napipana;napipano;napipani;napipane;napipaše
treskati;treskan;treskana;treskano;treskani;treskane;neka treskaju
pimplati;pimplan;pimplana;pimplano;pimplani;pimplane;pimplajući
parodirati;parodiram;parodiraše;parodiraše;parodirasmo;parodirate;parodiraše
grgljati;-;-;-;-;-;-
prebrojavati;prebrojavan;prebrojavana;prebrojavano;prebrojavani;prebrojavane;prebrojavajući
šupirati;šupiram;šupiraše;šupiraše;šupirasmo;šupirana;šupiraše
osipati;osipan;osipana;osipano;osipani;osipane;osipajući
prekoravati;prekoravam;prekoravaše;prekoravaše;prekoravasmo;prekoravana;prekoravaju
prigrijavati;prigrijavavši;prigrijavana;prigrijavano;prigrijavani;prigrijavane;prigrijavajući
planirati;planiram;planiraš;planiraše;planirasmo;planirate;planiraju
pokucati;pokucam;pokucaš;pokuca;pokucasmo;pokucajte;pokucat
zataškati;zataškan;zataškana;zataškano;zataškani;zataškane;zataškaše
čestitati;čestitavši;čestitana;čestitano;čestitani;čestitane;čestitahu
prolistati;prolistam;prolistaš;prolista;prolistasmo;prolistate;prolistaše
mlatarati;mlataram;mlataraše;mlataraše;mlatarasmo;mlatarate;mlatarajući
žbukati;žbukam;žbukaš;žbukaše;žbukasmo;žbukate;žbukaju
cerekati;cerekam;cerekaš;cerekaše;cerekasmo;cerekate;cerekaju
prosvirati;prosviram;prosviraš;prosvira;prosvirasmo;prosvirate;prosviraše
otpjevati;otpjevam;otpjevaš;otpjeva;otpjevasmo;otpjevate;otpjevaše
izvrijeđati;izvrijeđavši;izvrijeđana;izvrijeđano;izvrijeđani;izvrijeđane;izvrijeđaše
pobijati;pobijan;pobijaše;pobijano;pobijani;pobijane;pobijaju
prehodati;prehodavši;prehodala;prehodalo;prehodali;prehodale;neka prehodaju
oštrigati;oštrigan;oštrigana;oštrigano;oštrigani;oštrigane;oštrigaše
zakunjati;zakunjam;zakunjaš;zakunja;zakunjasmo;zakunjajte;zakunjat
odlijevati;odlijevan;odlijevana;odlijevano;odlijevani;odlijevane;odlijevajući
investirati;investiram;investiraše;investiraše;investirasmo;investirate;investiraše
erodirati;erodiram;erodiraše;erodiraše;erodirasmo;erodirate;erodiraju
dotirati;dotiram;dotiraše;dotiraše;dotirasmo;dotirate;dotiraše
tkati;tkam;tkaš;tkaše;tkasmo;tkate;tkaju
provjetravati;provjetravan;provjetravana;provjetravano;provjetravani;provjetravane;provjetravajući
interesirati;interesiram;interesira;interesiraše;-;-;-
očerupati;očerupah;očerupaj;očerupa;očerupajmo;očerupajte;očerupat
ušutkati;ušutkam;ušutkaš;ušutka;ušutkasmo;ušutkana;ušutkaše
tiskati;tiskam;tiskaš;tiskaše;tiskasmo;tiskate;tiskahu
iskrivljavati;iskrivljavavši;iskrivljavana;iskrivljavano;iskrivljavani;iskrivljavane;iskrivljajući
strijeljati;strijeljam;strijeljaše;strijeljaše;strijeljasmo;strijeljate;strijeljaše
podvrgavati;podvrgavan;podvrgavana;podvrgavano;podvrgavani;podvrgavane;podvrgavajući
skalpirati;skalpiram;skalpiraše;skalpiraše;skalpirasmo;skalpirate;skalpiraše
orguljati;orguljam;orguljaj;-;orguljasmo;orguljate;orguljajući
podsjećati;podsjećan;podsjećana;podsjećano;podsjećani;podsjećane;podsjećahu
vibrirati;vibriram;vibriraše;vibriraše;vibrirasmo;vibrirana;vibriraju
poduzimati;poduziman;poduzimana;poduzimano;poduzimani;poduzimane;poduzimajući
prošikljati;prošikljam;prošikljaš;prošiklja;prošikljasmo;prošikljate;prošikljaše
podešavati;podešavan;podešavana;podešavana;podešavani;podešavana;podešavajući
pojačavati;pojačavah;pojačavaj;pojačava;pojačavajmo;pojačavajte;pojačavaju
pokopati;pokopam;pokopaš;pokopa;pokopasmo;pokopajte;pokopat
gorčati;gorčan;gorčana;gorčano;gorčani;gorčane;gorčajući
opijati;opijan;opijana;opijano;opijani;opijane;opijajući
odati;odah;odaš;oda;odasmo;odaste;odaše
poljuljati;poljuljavši;poljuljana;neka poljulja;poljuljali;poljuljane;poljuljajući
adorirati;adoriram;adoriraše;adoriraše;adorirasmo;adorirate;adoriraše
zamaskirati;zamaskirah;zamaskiraj;zamaskira;zamaskirajmo;zamaskirajte;zamaskiraju
zavitlati;zavitlavši;zavitlana;zavitlano;zavitlani;zavitlane;zavitlaše
kljukati;kljukan;kljukana;kljukano;kljukani;kljukane;kljukajući
prekopavati;prekopavan;prekopavana;prekopavano;prekopavani;prekopavane;neka prekopavaju
zamotati;zamotah;zamotaš;zamota;zamotajmo;zamotajte;zamotaju
ometati;ometam;ometana;ometano;ometani;ometane;ometaju
sažalijevati;sažalijevam;-;sažalijevaše;-;sažalijevana;-
opuštati;opuštan;opuštana;opuštano;opuštani;opuštane;opuštajući
mamuzati;mamuzan;mamuzana;mamuzano;mamuzani;mamuzane;mamuzajući
aranžirati;aranžiram;aranžiraše;aranžiraše;aranžirasmo;aranžirate;aranžiraše
isporazbijati;isporazbijan;isporazbijana;isporazbijano;isporazbijani;isporazbijane;isporazbijaše
poravnavati;poravnavavši;poravnavaše;poravnavalo;poravnavali;poravnavana;poravnavajući
narušavati;narušavan;narušavana;narušavano;narušavani;narušavane;narušavajući
izglasati;izglasavši;izglasaj;izglasalo;izglasajmo;izglasane;izglasaju
zapljeskati;zapljeskam;zapljeskaš;zapljeska;zapljeskasmo;zapljeskajte;zapljeskaju
prošišati;prošišam;prošišaš;prošiša;prošišasmo;prošišate;prošišaše
obuzimati;obuziman;obuzimana;obuzimano;obuzimani;obuzimane;obuzimajući
otključati;otključan;otključana;otključano;otključani;otključane;otključaše
naseljavati;naseljavan;naseljavana;naseljavano;naseljavani;naseljavane;naseljavajući
